model_type,config_name,train_f1,test_f1,overfitting_gap_f1,train_auroc,test_auroc,overfitting_gap_auroc,train_score,test_score,overfitting_gap_score
LogisticRegression,Level8,0.7843631778058008,0.7527414220021224,0.03162175580367843,0.7830622700130004,0.7164437395365231,0.06661853047647737,0.7837127239094006,0.7345925807693228,0.04912014314007784
LogisticRegression,Level9,0.7839412133703737,0.7506155469574394,0.03332566641293433,0.7806947535420752,0.716504537844744,0.06419021569733119,0.7823179834562244,0.7335600424010917,0.04875794105513265
LogisticRegression,Level10,0.7825165562913907,0.7553080403759137,0.027208515915477016,0.7710329308331314,0.713445237465856,0.05758769336727543,0.7767747435622611,0.7343766389208848,0.04239810464137628
LogisticRegression,Level11,0.7809773123909249,0.7582151504669664,0.022762161923958524,0.7627987352092191,0.7084729932152612,0.0543257419939579,0.771888023800072,0.7333440718411138,0.03854395195895821
LogisticRegression,Level12,0.7661473684210526,0.7544388609715242,0.011708507449528338,0.7304565035365667,0.6852216054277911,0.04523489810877557,0.7483019359788097,0.7198302331996577,0.02847170277915201
LogisticRegression,Level13,0.75965772202376,0.7496706192358367,0.009987102787923363,0.7153896282749047,0.673913120098687,0.04147650817621773,0.7375236751493324,0.7117918696672618,0.025731805482070547
LogisticRegression,Level14,0.7620274263201757,0.757310823032861,0.0047166032873147135,0.6889046559284313,0.6542250418539078,0.03467961407452347,0.7254660411243035,0.7057679324433844,0.019698108680919035
RandomForest,Level-10,0.7486861996976459,0.7486323063633746,5.389333427130438e-05,0.5715098990811538,0.5733298087937263,-0.0018199097125725094,0.6600980493893999,0.6609810575785504,-0.000883008189150547
RandomForest,Level-9,0.741674595623216,0.7422096317280453,-0.0005350361048293006,0.621711764317035,0.6168944400387699,0.004817324278265089,0.6816931799701256,0.6795520358834076,0.00214114408671795
RandomForest,Level-8,0.7416867070237997,0.7394019060138022,0.002284801009997506,0.6277385805257475,0.6208265045378447,0.006912075987902777,0.6847126437747736,0.6801142052758234,0.0045984384989501415
RandomForest,Level-7,0.7414489409049699,0.7394573389996731,0.0019916019052967915,0.6271806348192054,0.6212498898581372,0.005930744961068157,0.6843147878620877,0.6803536144289052,0.003961173433182474
RandomForest,Level-6,0.7594792514239219,0.7512987012987012,0.008180550125220676,0.6777171793402815,0.6596466649043968,0.0180705144358847,0.7185982153821018,0.705472683101549,0.013125532280552799
RandomForest,Level-5,0.7455197132616488,0.744968657208842,0.0005510560528068087,0.6747958762091533,0.652591417746057,0.022204458463096266,0.710157794735401,0.6987800374774495,0.011377757257951426
RandomForest,Level-4,0.7461070863519027,0.7438943894389439,0.002212696912958778,0.6785506136659101,0.6528205128205129,0.025730100845397175,0.7123288500089064,0.6983574511297284,0.013971398879178087
