scaler,reg_param,cv_f1_mean,cv_f1_std,cv_acc_mean,success_folds,failed_folds
quantile_uniform,0.000325,0.7822832578070105,0.004038170426394802,0.7777164896930718,5,0
robust,0.07500000000000001,0.7807381943999225,0.0031206470926516796,0.7725070768718127,5,0
quantile_uniform,0.00055,0.7756828254739834,0.0032514968201542657,0.7708478039835343,5,0
quantile_normal,0.03,0.7754964508510376,0.0029198062846559274,0.770340838467326,5,0
robust,0.1,0.7727328105041681,0.0020614809082436093,0.764255658442609,5,0
standard,0.0032500000000000003,0.771775965690229,0.0023010640602783624,0.7635643505232173,5,0
quantile_uniform,0.0007750000000000001,0.7711585786954636,0.0035538696987920267,0.7664684791916433,5,0
power_yeo,0.0055000000000000005,0.7685090501184554,0.003075558570306069,0.7601993286574604,5,0
power_yeo,0.0055000000000000005,0.7685090501184554,0.003075558570306069,0.7601993286574604,5,0
none,0.00055,0.7682714448376202,0.004753729162507059,0.7603838835713399,5,0
quantile_normal,0.04,0.7679439876360895,0.0034384276933782133,0.7625042196655061,5,0
quantile_uniform,0.001,0.7672524061803099,0.0024627753800611895,0.7624579773380719,5,0
quantile_uniform,0.001,0.7672524061803099,0.0024627753800611895,0.7624579773380719,5,0
quantile_normal,0.05,0.7634273354768127,0.0034830905011510203,0.7579405843470359,5,0
quantile_normal,0.05,0.7634273354768127,0.0034830905011510203,0.7579405843470359,5,0
standard,0.0055000000000000005,0.7604716571795592,0.0021373364791668283,0.7511639795220443,5,0
power_yeo,0.007750000000000001,0.759250493357008,0.003451006167255798,0.7502421187486392,5,0
power_yeo,0.007750000000000001,0.759250493357008,0.003451006167255798,0.7502421187486392,5,0
none,0.0007750000000000001,0.7584113826805442,0.003625399013171467,0.7507492755244737,5,0
maxabs,0.0001,0.7565490697721017,0.0028840021299627993,0.7451713372798695,5,0
minmax,0.0001,0.7564320485167297,0.0029509865694872317,0.7450330565700285,5,0
quantile_normal,0.07500000000000001,0.7533472431812874,0.002784551711202535,0.7482138847900888,5,0
standard,0.007750000000000001,0.7524621493182058,0.002443537060915454,0.7425895873371677,5,0
power_yeo,0.01,0.7516189050337363,0.004222117822321874,0.7420365813786866,5,0
power_yeo,0.01,0.7516189050337363,0.004222117822321874,0.7420365813786866,5,0
power_yeo,0.01,0.7516189050337363,0.004222117822321874,0.7420365813786866,5,0
power_yeo,0.01,0.7516189050337363,0.004222117822321874,0.7420365813786866,5,0
none,0.001,0.7477079686852373,0.00235649190046134,0.7405154723193662,5,0
none,0.001,0.7477079686852373,0.00235649190046134,0.7405154723193662,5,0
standard,0.01,0.7467792870606453,0.003344551386298182,0.7364125070619961,5,0
standard,0.01,0.7467792870606453,0.003344551386298182,0.7364125070619961,5,0
quantile_normal,0.1,0.7457067490874741,0.0034363504613522658,0.7410687439162172,5,0
quantile_uniform,0.0032500000000000003,0.7452282785019021,0.004668040558932522,0.740838180436669,5,0
power_yeo,0.02,0.7332766329987612,0.0017231695569371215,0.722352788793801,5,0
power_yeo,0.02,0.7332766329987612,0.0017231695569371215,0.722352788793801,5,0
quantile_uniform,0.0055000000000000005,0.7318910214912091,0.004369140245461971,0.7283916839889448,5,0
standard,0.02,0.7302258357070792,0.0030656183457946503,0.7182499404173137,5,0
minmax,0.000325,0.728585153474978,0.002073756061250293,0.7129948802985691,5,0
maxabs,0.000325,0.7284739944706227,0.002159764899884114,0.7128104847677115,5,0
power_yeo,0.03,0.7210768284293468,0.0036594727489961437,0.7089383380027247,5,0
power_yeo,0.03,0.7210768284293468,0.0036594727489961437,0.7089383380027247,5,0
quantile_uniform,0.007750000000000001,0.7210393413919879,0.004398708545675229,0.7184806951564882,5,0
standard,0.03,0.7198049833145411,0.0031289029415137,0.7064028622640613,5,0
power_yeo,0.04,0.7128192237650802,0.0031151673092216126,0.6998109717359713,5,0
power_yeo,0.04,0.7128192237650802,0.0031151673092216126,0.6998109717359713,5,0
quantile_uniform,0.01,0.7125065233873777,0.005121805818794299,0.7105058700235707,5,0
quantile_uniform,0.01,0.7125065233873777,0.005121805818794299,0.7105058700235707,5,0
standard,0.04,0.7113214119247766,0.0038017508011202275,0.6973677043882714,5,0
minmax,0.00055,0.7095969605759089,0.0027140040147713273,0.6917901167863155,5,0
maxabs,0.00055,0.7094510387576719,0.0027380323180153333,0.6916517829488006,5,0
none,0.0032500000000000003,0.7083387536284658,0.0016897927247273192,0.7033606866475599,5,0
power_yeo,0.05,0.7077144400382269,0.0027960863973688437,0.693910484757086,5,0
power_yeo,0.05,0.7077144400382269,0.0027960863973688437,0.693910484757086,5,0
power_yeo,0.05,0.7077144400382269,0.0027960863973688437,0.693910484757086,5,0
power_yeo,0.05,0.7077144400382269,0.0027960863973688437,0.693910484757086,5,0
standard,0.05,0.70433898338277,0.0037438907946949116,0.6895771260287245,5,0
standard,0.05,0.70433898338277,0.0037438907946949116,0.6895771260287245,5,0
power_yeo,0.07500000000000001,0.6957502305098074,0.0034658014595297377,0.6808188589641953,5,0
power_yeo,0.07500000000000001,0.6957502305098074,0.0034658014595297377,0.6808188589641953,5,0
minmax,0.0007750000000000001,0.6923161659859465,0.0023662942840379482,0.6722447430432232,5,0
maxabs,0.0007750000000000001,0.6920040253983257,0.002645401004021406,0.6718759838581126,5,0
standard,0.07500000000000001,0.6908307326625703,0.0026511331909311086,0.6747800700243994,5,0
none,0.0055000000000000005,0.6904680976718469,0.001011173058418639,0.6856128983791916,5,0
power_yeo,0.1,0.685772982284935,0.0038226110829234494,0.6700318266643757,5,0
